Geography_Code,Geography_Name,Time_Period,Value,Dataset,Measure,Benefit_Type,Date
E06000004,Stockton-on-Tees,November 2023,18897.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000037,Gateshead,June 2023,19307.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000037,Gateshead,July 2023,19391.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000037,Gateshead,August 2023,19499.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000037,Gateshead,September 2023,19537.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000037,Gateshead,October 2023,19657.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000037,Gateshead,November 2023,19726.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000021,Newcastle upon Tyne,June 2023,30822.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000021,Newcastle upon Tyne,July 2023,30940.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000021,Newcastle upon Tyne,August 2023,30872.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000021,Newcastle upon Tyne,September 2023,30887.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000021,Newcastle upon Tyne,October 2023,31042.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000021,Newcastle upon Tyne,November 2023,31224.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000022,North Tyneside,June 2023,16858.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000022,North Tyneside,July 2023,17010.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000022,North Tyneside,August 2023,17084.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000022,North Tyneside,September 2023,17182.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000022,North Tyneside,October 2023,17324.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E08000022,North Tyneside,November 2023,17438.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
