Geography_Code,Geography_Name,Time_Period,Date,Value,Dataset,Year,Month,Quarter,Month_Name,Region,Previous_Value,Growth_Rate,Source_File,Collection_Time,Data_Type,Measure,Category,demographic_type,demographic_field
UK_TOTAL,United Kingdom,2017 Jun,2017-06-01,409750.0,households_demographic,2017,6,2,June,,0.0,,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:1,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 May,2017-05-01,0.0,households_demographic,2017,5,2,May,,22024.0,-100.0,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:99,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 May,2017-05-01,22024.0,households_demographic,2017,5,2,May,,7243.0,204.07,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:4,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 May,2017-05-01,7243.0,households_demographic,2017,5,2,May,,61653.0,-88.25,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:3,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 May,2017-05-01,61653.0,households_demographic,2017,5,2,May,,403943.0,-84.74,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:2,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 May,2017-05-01,403943.0,households_demographic,2017,5,2,May,,0.0,,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:1,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Apr,2017-04-01,0.0,households_demographic,2017,4,2,April,,20608.0,-100.0,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:99,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Aug,2017-08-01,27895.0,households_demographic,2017,8,3,August,,9484.0,194.13,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:4,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Aug,2017-08-01,0.0,households_demographic,2017,8,3,August,,27895.0,-100.0,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:99,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
UK_TOTAL,United Kingdom,2017 Sep,2017-09-01,449471.0,households_demographic,2017,9,3,September,,0.0,,uc_households_granular_20250921_224641.parquet,2025-09-21 22:48:06.008701,,V_F_UC_HOUSEHOLDS,str:value:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type:C_UC_FAMILY_TYPE:1,Family Type,str:field:UC_Households:V_F_UC_HOUSEHOLDS:hnfamily_type
